targetid,ra_1,dec_1,ppxf_sigma,ppxf_sigma_error,DER_SNR,snr_ppxf,objid_2,ra_2,dec_2,h_alpha_eqw,sigmaStars,sigmaStarsErr,veldisp,veldispErr
39628027503577914,131.997760945632,9.90403329444632,88.41003558726291,10.073116301615817,7.3176947887029415,4.248552468275157,1237671123222331709,131.99776073536,9.90402765923963,-8.59303,101.8483,12.37719,126.7533,13.85619
39633271075635471,179.630651521446,51.5846735242105,149.95095204350508,9.909760994732439,7.461753593107715,4.247324926460527,1237657628454027363,179.63066125537,51.5846829821583,-0.071355,165.794,6.96756,169.359,7.910258
39633318353831472,176.729045780863,54.7068495736232,168.07113854735493,12.324802237265146,7.375367724835524,4.245294889685618,1237657590321315936,176.729040480022,54.7068920580762,-1.827552,169.8267,6.040092,158.1091,6.752964
39632986311758249,217.878775187314,35.2099956354497,189.3695007796926,16.461555993321294,6.671483363642464,4.244182216797226,1237662225152802922,217.878765022799,35.2099988505272,-0.21546,187.8934,12.38969,196.8915,15.88799
39632939784341037,115.239326681211,32.9618831668502,230.34636338234498,11.102091604181947,10.922587906125258,4.243780206762207,1237674289680679268,115.239340323427,32.9618602887327,-2.580242,209.5362,7.07109,219.1738,8.273403
39627842723515257,216.89155360645,2.17316553326577,180.60645626555663,10.68872133228121,8.569415205435753,4.242846766299676,1237651754026467538,216.891563301883,2.17316642121605,-0.502325,189.2749,8.117923,182.7938,9.044601
39633300511263781,169.828425980696,53.6176885698633,210.15850925062955,19.924376804320282,5.936716965790432,4.242779462298999,1237658801497243807,169.828436399377,53.6176786715968,-1.681901,196.5924,9.71427,198.0061,10.86915
39633455444658683,143.385030278711,66.1920428446103,202.3169736821885,8.938870233677644,10.434671918531322,4.2385002831509215,1237663916273893613,143.385009654554,66.1920626198467,-0.4426228,211.194,9.157118,225.8646,9.865882
39633342294918131,172.910008213757,56.3941288678311,161.36815567915193,16.631133566204234,5.758395703295968,4.236022250800192,1237657611264458922,172.909994609606,56.3941319347932,-0.7159789,161.1128,7.727033,142.0479,8.919603
39627757549783749,180.123332635722,-1.29329410222059,81.33186154693298,9.387152668744116,6.543079608483603,4.235657898747694,1237650372092625047,180.123320524715,-1.29328792435353,-4.09497,76.90348,11.18128,72.32138,11.50841
39633424658467760,190.373229403611,63.3018784473746,270.57934972434003,8.16877471084379,15.726300128455765,4.235632671024884,1237655465917284466,190.373256389346,63.301890070486,-0.3329216,254.5081,6.067064,254.2247,6.821307
39627926999666317,209.049401595566,5.62651310376036,150.41241047751342,11.08586536901575,7.64609295185178,4.235411310185854,1237661970122277051,209.04939416272,5.62648985123098,0.03429043,161.8532,8.886477,148.8163,9.59379
39632986294978870,216.507234204384,35.1485561313499,210.78342692832942,10.426758875863005,9.321894596323533,4.235333182328815,1237662224615473298,216.507227521435,35.1485510467337,-0.7006474,173.7015,7.900682,166.1031,9.484823
39627764122259252,211.961040950961,-0.950373917029829,81.07689945569442,9.511015611727515,6.0790410165526945,4.232357807932646,1237648720170975495,211.961065032001,-0.950378758458602,-0.0541679,111.0344,7.525834,106.4509,7.807015
39627817440249995,149.83659406386,1.29853453995709,356.48817543601695,20.273309088571498,8.298544228275059,4.231514481886916,1237651752923365569,149.83653503604,1.29859122281884,-0.9149287,327.4511,8.165181,302.243,9.199543
39633342332667774,177.058668813423,56.5322787252642,156.70786760816338,11.58008142235559,7.785350098069335,4.231433096696278,1237661352168521793,177.058684286868,56.5322986441364,-0.7146417,177.361,7.297267,176.2593,8.233679
39627811920545410,180.825033115754,0.919906390021282,175.75537271426475,11.221393450707557,7.562248057790433,4.231311671290577,1237674651539669113,180.825047266409,0.919911784241853,-0.6559803,170.1529,7.34371,164.2061,9.176781
39633404949431454,190.610267138434,61.4310633810205,140.7245460372294,17.39957624795855,7.126886685951537,4.23074229848489,1237655368752365679,190.610266851204,61.4310947610295,-12.13206,160.1409,10.00293,162.3078,10.38611
39633304835589848,242.397635856928,53.7932002546035,109.43714082808995,10.715751678566425,6.210975869465925,4.230733064354854,1237654950524879049,242.397604560081,53.7932096696809,-0.5248078,138.6191,6.376128,133.9097,7.302359
39633153987447365,240.119576824719,44.2356307648269,174.63587274471743,12.129061268438413,7.008199749531147,4.228938747258831,1237659329775403028,240.119572304885,44.2356278260828,-0.9741086,166.5599,8.210928,168.9018,9.515006
39627847635046564,149.720023974802,2.43419775986915,159.56486463217675,11.930630291377195,7.727243052376013,4.224869370696001,1237653665258733813,149.720015729347,2.43420873518457,-1.269794,149.071,8.792474,161.241,9.18691
39633318437716589,185.255869809581,54.7906782784175,230.14622006700674,16.079683519598944,6.188916539568843,4.222295570154433,1237658917456248972,185.255850585427,54.7906828605478,-0.6076062,227.6018,7.478407,224.3197,8.87732
39633297013214292,182.041649438513,53.3645234307612,180.7360773175397,9.94461826924182,8.502628989074314,4.221156998234286,1237657630602166405,182.041663052727,53.3645260374713,-0.6916842,166.6837,10.2404,171.3076,11.14732
39627872788284835,209.615667496892,3.53866050625122,184.6834911857381,12.518027611847893,9.20984913181799,4.2202486648414546,1237654879124127753,209.615658020839,3.53864698660023,-6.613054,193.0253,11.94861,199.8506,12.45381
39633297017406860,182.248178057074,53.3112473277361,102.05272210237486,9.467154459768677,6.5142474758373545,4.217817627310373,1237657630602232055,182.24813348329,53.3112546776417,-0.832538,115.7793,11.31683,111.3711,12.88783
39633267665667398,215.161658011026,51.1959757055512,143.566271501161,14.438455047427231,5.824086143534787,4.217490262054525,1237659119859794056,215.161629573988,51.1959857968876,-0.9501661,153.4319,8.608979,148.8915,9.730085
39633293343197356,179.010875225112,52.9611145266492,134.67567294436768,15.483641143265933,6.6336194823528185,4.217143099032597,1237657630064509063,179.010894309998,52.9611053360758,-2.459683,117.4077,8.485375,129.6553,9.836799
39627746099332595,217.568669484406,-1.75699396597357,85.36223404058399,16.915945133243802,7.747302840882381,4.214266274102732,1237655499207409897,217.568668983507,-1.75699091813172,-48.38523,116.3228,9.428614,114.58,12.0596
39627770308854165,220.510975693049,-0.735791725271159,201.4022672139082,16.05375648458105,6.4714422905791125,4.213645687414209,1237648703519588601,220.510980236592,-0.73578523389105,-1.052622,250.9696,11.25681,219.2294,13.4724
39627945051951393,210.358733027719,6.40723791857967,134.71379060829707,10.796508440563056,7.341528352283037,4.213625602194605,1237661971196608623,210.358750141227,6.40722758365099,-0.3591399,147.5414,5.977338,146.7381,6.697243
