objid r s i dr dr_ph ds di Sprob cz
39628433277322720 0.2844622136807311 2.3079796324328177 2.843862003929371 0.0003873437392375501 0.016844761975250137 0.0315660341055364 0.00020342456 1.0 7312.006223609441
39632991726602848 0.0803843391452625 2.3208488989082623 3.1931919448264194 0.0011265067691189126 0.014061374773311815 0.031519260112459736 0.00037475396 1.0 9116.05835572397
39633321809937056 0.251751522314236 2.3108707888425446 2.8164455559974266 0.0007290764844148931 0.02000609245872305 0.023637822395413437 0.00045534104 1.0 6186.771935953803
39628459881793328 0.28665442467165003 2.219706944594207 2.6002009374194683 7.683125744372774e-05 0.02017674132143356 0.039407395001146456 0.00029919692 1.0 6038.8338889859015
39628427887644544 0.06641701258935696 2.21315874446597 2.908224955868474 5.996140787848094e-05 0.01736755899296116 0.036627405124663406 0.00035959252 1.0 7073.773172228256
39628411760542192 0.146384136122401 2.1610319458503517 2.9021244868482396 0.0005361357719875124 0.017067360138852728 0.040522151413733366 0.00027944145 1.0 7206.85566765139
39633559496952472 0.47994821125581544 2.296549726252614 2.571074225958652 0.0008146728349581394 0.01068993904542631 0.022614707735308874 0.00041637494 1.0 12035.385184975241
39633368496734712 0.4556636712929426 2.4840833265027156 2.763121001888548 0.00036461783669078466 0.02657117731698326 0.02048781278495725 0.00020163837 1.0 4608.2376212211875
39628438633449216 0.18919994294517903 2.225767685720456 2.604187020318686 0.0005872195386654271 0.02150611919647199 0.035517189286328035 0.00031396543 1.0 5639.905497022098
39633321180792744 0.4960907994050672 2.0852871338996604 2.182174668261543 0.0005777515661406964 0.011733446983332266 0.026651751403092994 0.0005601002 1.0 10882.84237800403
39628433256354048 1.0042368923193736 2.4338083802808788 1.8797068377630053 3.7594226744025275e-05 0.01775168235943453 0.027953584923471376 0.00024635388 1.0 6913.698321139618
39633080767482792 0.4518868770175665 2.3160003559300457 2.7810096346365025 0.0009064529356350723 0.010352308336924717 0.01684777032558912 0.00040361477 1.0 12266.210217765629
39628427896030792 0.36178695530963584 2.3415100699367013 2.8197397860619207 0.0003834391503816462 0.017572475495242153 0.02915976497015766 0.00022498934 1.0 6987.2396118511315
39632991709825912 0.3177998616393161 2.151381892643688 2.817507116539711 0.0006032634195702626 0.014166375795157178 0.03773600666795755 0.00037785302 1.0 9040.816292052667
39628427908615440 0.08071932976688272 2.296772974828922 2.779412078213502 0.0006931840754249539 0.0213847862636049 0.03443392731736903 0.00027849528 1.0 5668.901689872632
39627781717363536 0.6173987802652007 2.407758370259473 2.4498534061258708 0.0002527388959522039 0.019715346158625986 0.028021650487126307 0.00015557552 1.0 6094.005438569521
39627939033123984 0.2523187876876269 2.400972809852267 2.988359211707542 0.0002684927279850946 0.02735677463552806 0.03183802337851694 0.00016432465 1.0 4342.8053910447825
39633149600204736 -0.07016978159591356 2.1095224806251553 3.2145890928697805 0.0012468448725597553 0.01194687654322643 0.03914845898605349 0.0008438374 1.0 10689.820445209398
39633331536528416 0.1211620479478909 2.022445087612237 2.575391479736399 0.002140503291081192 0.01135789537204735 0.03674374301033791 0.0009049836 0.9610874300651147 11252.94659605083
39628427929588544 0.6884748506882667 2.358333331234745 2.3623131196957656 0.00011935035339821458 0.017771493377701036 0.030921279739615535 0.0001424586 1.0 6910.930372788998
39627799891284824 0.7082313442408157 2.059696479794168 1.976794895237144 0.00016268405426184127 0.01906987342399635 0.04383290717349075 0.00022526331 1.0 6323.352969673054
39627829507263472 0.6050323871316516 2.110129511741127 2.248485515845444 0.0006364456623945131 0.012606151765639593 0.04176402299781517 0.00032929055 1.0 9828.36361206469
39628443943441992 0.008039449650226942 2.1678646991571284 3.00276546527068 0.00022659689223226571 0.01697849395877325 0.04180197920669576 0.00040792904 1.0 7250.132402390045
39628427904418112 -0.1693195034946537 2.2754951682981406 3.141763500197042 0.0005238755233041747 0.021641953387865873 0.03433738154193698 0.00028311665 0.9659946312030336 5595.900679211354
39628414323262864 0.5343471573573456 2.384974640801453 2.609262554663374 0.0004656807502009609 0.014290127597997774 0.019111750684216243 0.0002282449 1.0 9309.691673402005
39633147909899312 -0.13269844402605255 2.1641576382183647 3.0397415443828493 0.0010227079514087485 0.018857169696543323 0.02848787480348996 0.0004066076 0.8682253755538002 6703.406795012473
39628438612479216 0.12556622037793722 2.2917310259292156 2.8663528405143888 0.00043797135058214936 0.020223519908881982 0.03394641535247409 0.00027003585 1.0 6019.731591288229
39628438612479816 0.40838452991807067 2.322540993814327 2.545889008812537 0.0004061739257773935 0.017179372061141264 0.028996219246713768 0.00030261977 1.0 7160.371093703859
39628427921195120 0.709799678530973 2.453034776270239 2.4543728810404266 2.7225179536247225e-05 0.01572453275156323 0.029882575923259606 0.0002028507 1.0 7862.2480213641975
39633453842433984 0.23637275215331913 2.418156469785806 2.962780403231589 0.001354327915947638 0.011257414519227196 0.03304077774779502 0.00044529463 1.0 11496.468200812684
39628427904419832 -0.06907927086817278 2.057985386523614 2.5289947061788123 0.00039393491793476626 0.017011489322339902 0.05281810759004926 0.0009202147 0.22851766554767167 7233.122940217956
39632955655587736 -0.3121408503474892 2.2124771966244565 3.4465642741079616 0.0010861579449864456 0.013028811562750505 0.03387102045469635 0.00080288056 0.992533588467598 9561.23015240349
39633255728680160 0.22337570345126392 2.2675404714696845 2.720883095852936 0.0009674967963109229 0.01780526599846211 0.03516815924387445 0.0005195061 1.0 6966.081541670805
39633255716097024 0.5262336849547778 2.105871869322056 2.3676053479836545 0.00022944924936802631 0.017823326149016147 0.05660455048023159 0.00044782335 1.0 6958.360362015302
39628433264739336 -0.15019019201671585 2.1589733813223013 3.0953072564551487 0.00047116874678506684 0.02008771802411935 0.04149436915084573 0.0005499918 0.9343880493186043 6062.40230476809
39632945543119840 -0.09001517513904253 1.9500721360480506 2.790045499756798 0.0016030146758090036 0.01772415636758118 0.043438062125253266 0.00089170254 0.4896709444200893 6913.782033095317
39627598510163424 0.5234675323186357 2.104438690679554 2.2394886913041843 3.4095666766121026e-05 0.027791949267699633 0.026696232972470552 0.000116557916 1.0 4792.454690961643
39628438620864728 0.3065254070081233 2.210469616471949 2.7340554420496703 0.00043488434057510443 0.015183043166426557 0.039976068234293435 0.00025792365 1.0 8157.55215943261
39628449266008840 0.0887787049705692 2.042258056277561 2.7398741414562675 0.0007036224716387876 0.018629926091484058 0.04109002756108464 0.00044651434 1.0 6571.593526535327
39628438633449648 0.2377787605844466 2.2586167090683102 2.6459151437519424 0.0007534779349492094 0.019209644164440022 0.03784725910952126 0.00029228238 1.0 6363.119153463938
39632986802489616 0.21112647701429266 2.183028813290216 2.98001494112534 0.00022659776649640512 0.011492307521166352 0.04145183585725912 0.0003660527 1.0 11191.120188605211
39633140817331168 -0.07465338850452942 2.285245999238798 3.131220117678418 0.001023525831861558 0.022336199709111826 0.03490877146881851 0.00033748016 1.0 5606.417782863311
39628438608282512 0.2478381884560334 2.294663478555173 2.67963395204037 0.000541335660269771 0.019439603496410142 0.038115577409573505 0.00032119767 1.0 6278.365966395061
39633414139152344 0.37367156873590274 2.312562425470117 2.8726559986480495 0.0005861338378771955 0.014956807422367605 0.03252638045678244 0.00036131006 1.0 8631.89909558
39628433277323808 0.2960943903103228 2.3339096590046533 2.6555664815766216 0.0003859524708770318 0.022106477088831636 0.036375792516612056 0.00020465384 1.0 5473.258887024253
39633199696970864 0.3771569679304939 2.277266776437064 2.650111575500892 0.0007959056493408906 0.014512335659397782 0.023742410455039317 0.0003871742 1.0 8604.766715740516
39627770195607672 0.41414173519945907 2.4020805143251187 2.8673850748383103 0.0006045842027870922 0.010880728368498164 0.04208027020296133 0.00022399223 1.0 11558.990955068026
39628438625062432 0.21205382700994577 2.314340086576947 2.7045805076775906 0.0009962996294653407 0.016299529720409767 0.04123209895084072 0.00039499975 1.0 7571.130115843987
39627854803108976 0.37828187871611724 2.2576154372853794 2.682185893586241 0.0007442752313056841 0.011734638736650217 0.03901546286840197 0.00035298482 1.0 10706.617452093793
